date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:23:46	7961/7961	---M-Z	200	added ('OK')	text/css	etag:%2211600f6-1f19-5fc5ad8011318-gzip%22	https://www.hotelans.co.in/wp-content/uploads/elementor/css/post-703.css?ver=1684841984	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/elementor/css/post-703386c.css	(from https://www.hotelans.co.in/)
17:23:46	4358/4358	---M-Z	200	added ('OK')	text/css	etag:%2211600f8-1106-5fc5ad802b12b-gzip%22	https://www.hotelans.co.in/wp-content/uploads/elementor/css/post-708.css?ver=1684841984	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/elementor/css/post-708386c.css	(from https://www.hotelans.co.in/)
17:23:46	3443/3443	---M-Z	200	added ('OK')	text/css	etag:%221780e1f-d73-60174b7548001-gzip%22	https://www.hotelans.co.in/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.8.4	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min69c8.css	(from https://www.hotelans.co.in/)
17:23:47	57912/57912	---M-Z	200	added ('OK')	text/css	etag:%221180f4a-e238-5ff1938e63e5b-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://www.hotelans.co.in/)
17:23:47	48606/48606	---M-Z	200	added ('OK')	text/css	etag:%22116010d-bdde-5fc5b65fb6fdc-gzip%22	https://www.hotelans.co.in/wp-content/uploads/elementor/css/post-78.css?ver=1684844366	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/elementor/css/post-78ca4e.css	(from https://www.hotelans.co.in/)
17:23:48	669/669	---M-Z	200	added ('OK')	text/css	etag:%221180f4e-29d-5ff1938e64243-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://www.hotelans.co.in/)
17:23:51	89815/89815	---M-Z	200	added ('OK')	application/javascript	etag:%221441179-15ed7-5f667d23f9540-gzip%22	https://www.hotelans.co.in/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/jquery/jquery.min5aed.js	(from https://www.hotelans.co.in/)
17:23:51	13424/13424	---M-Z	200	added ('OK')	application/javascript	etag:%221441171-3470-5f40e4dc48ec0-gzip%22	https://www.hotelans.co.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://www.hotelans.co.in/)
17:23:53	53400/53400	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Jul%202023%2011:53:49%20GMT	https://www.hotelans.co.in/wp-json/wp/v2/pages/78	D:/Hotelans/hotelans/www.hotelans.co.in/wp-json/wp/v2/pages/78.json	(from https://www.hotelans.co.in/)
17:23:53	823/823	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20Jul%202023%2011:53:50%20GMT	https://www.hotelans.co.in/xmlrpc.php?rsd	D:/Hotelans/hotelans/www.hotelans.co.in/xmlrpc0db0.php	(from https://www.hotelans.co.in/)
17:23:54	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22ec6431-415-4ed4785da9bc0-gzip%22	https://www.hotelans.co.in/wp-includes/wlwmanifest.xml	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/wlwmanifest.xml	(from https://www.hotelans.co.in/)
17:23:54	200601/200601	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Jul%202023%2011:53:50%20GMT	https://www.hotelans.co.in/wp-json/	D:/Hotelans/hotelans/www.hotelans.co.in/wp-json/index.html	(from https://www.hotelans.co.in/)
17:23:55	2918/2918	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Jul%202023%2011:53:51%20GMT	https://www.hotelans.co.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hotelans.co.in%2F	D:/Hotelans/hotelans/www.hotelans.co.in/wp-json/oembed/1.0/embed5340.json	(from https://www.hotelans.co.in/)
17:23:56	3001/3001	---M-Z	200	added ('OK')	text/xml	date:Thu,%2027%20Jul%202023%2011:53:53%20GMT	https://www.hotelans.co.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.hotelans.co.in%2F&format=xml	D:/Hotelans/hotelans/www.hotelans.co.in/wp-json/oembed/1.0/embed8673	(from https://www.hotelans.co.in/)
17:23:58	18407/18407	---M--	200	added ('OK')	image/png	etag:%221163aad-47e7-5e207ab62385c%22	https://www.hotelans.co.in/wp-content/uploads/2022/06/Ans-Intl.-logo-02-300x300.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/06/Ans-Intl.-logo-02-300x300.png	(from https://www.hotelans.co.in/)
17:23:59	26674/26674	---M-Z	200	added ('OK')	text/css	etag:%221162058-6832-5f286b7cde61d-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-nav-menu.min.css	(from https://www.hotelans.co.in/)
17:24:00	73141/73141	---M--	200	added ('OK')	image/png	etag:%221163a87-11db5-5e207a83f5973%22	https://www.hotelans.co.in/wp-content/uploads/2022/06/cropped-Ans-Intl.-logo-03.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/06/cropped-Ans-Intl.-logo-03.png	(from https://www.hotelans.co.in/)
17:24:00	9921/9921	---M-Z	200	added ('OK')	text/css	etag:%22118051b-26c1-5ff1938c55c28-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://www.hotelans.co.in/)
17:24:01	87671/87671	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2011:53:58%20GMT	https://www.hotelans.co.in/aboutus/	D:/Hotelans/hotelans/www.hotelans.co.in/aboutus/index.html	(from https://www.hotelans.co.in/)
17:24:03	98559/98559	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2011:53:59%20GMT	https://www.hotelans.co.in/events-and-celebrations/	D:/Hotelans/hotelans/www.hotelans.co.in/events-and-celebrations/index.html	(from https://www.hotelans.co.in/)
17:24:03	97570/97570	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2011:53:58%20GMT	https://www.hotelans.co.in/restaurants-and-bar/	D:/Hotelans/hotelans/www.hotelans.co.in/restaurants-and-bar/index.html	(from https://www.hotelans.co.in/)
17:24:04	8642/8642	---M-Z	200	added ('OK')	text/css	etag:%221161479-21c2-5f286b7c7b03e-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css	(from https://www.hotelans.co.in/)
17:24:05	78114/78114	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Jul%202023%2011:54:01%20GMT	https://www.hotelans.co.in/contact-us/	D:/Hotelans/hotelans/www.hotelans.co.in/contact-us/index.html	(from https://www.hotelans.co.in/)
17:24:09	492763/492763	---M--	200	added ('OK')	image/png	etag:%221163a53-784db-5e1f33386226e%22	https://www.hotelans.co.in/wp-content/uploads/2022/06/Untitled-design11-min.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/06/Untitled-design11-min.png	(from https://www.hotelans.co.in/)
17:24:10	31770/31770	---M-Z	200	added ('OK')	text/css	etag:%221161ede-7c1a-5f286b7c7db36-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	(from https://www.hotelans.co.in/)
17:24:11	3303/3303	---M-Z	200	added ('OK')	text/css	etag:%2211806a9-ce7-5ff1938e03b40-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css?ver=1.2.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min7359.css	(from https://www.hotelans.co.in/)
17:24:13	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Jul%202023%2011:54:09%20GMT	https://www.hotelans.co.in/home/	D:/Hotelans/hotelans/www.hotelans.co.in/home/index.html	(from https://www.hotelans.co.in/)
17:24:14	63516/63516	---M-Z	200	added ('OK')	application/javascript	etag:%221180a8c-f81c-5feb4a2a7f08d-gzip%22	https://www.hotelans.co.in/wp-content/plugins/chaty/js/cht-front-script.min.js?ver=3.1.21657522267	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/chaty/js/cht-front-script.minec6f.js	(from https://www.hotelans.co.in/)
17:24:15	2981/2981	---M-Z	200	added ('OK')	application/javascript	etag:%221441013-ba5-5dc2a2438e980-gzip%22	https://www.hotelans.co.in/wp-includes/js/comment-reply.min.js?ver=6.2.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/comment-reply.min3781.js	(from https://www.hotelans.co.in/)
17:24:16	23366/23366	---M-Z	200	added ('OK')	application/javascript	etag:%2212e0d7f-5b46-5fe31e1f711aa-gzip%22	https://www.hotelans.co.in/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min.js?ver=1.0.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/themes/hestia/assets/bootstrap/js/bootstrap.min20b9.js	(from https://www.hotelans.co.in/)
17:24:20	21438/21438	---M-Z	200	added ('OK')	application/javascript	etag:%2214411f6-53be-5f3ba2adac400-gzip%22	https://www.hotelans.co.in/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/jquery/ui/core.min3f14.js	(from https://www.hotelans.co.in/)
17:24:22	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:%2212e0f75-5309-5fe31e1f73ca2-gzip%22	https://www.hotelans.co.in/wp-content/themes/hestia/assets/js/script.min.js?ver=3.0.30	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/themes/hestia/assets/js/script.min63c4.js	(from https://www.hotelans.co.in/)
17:24:22	7249/7249	---M--	200	added ('OK')	image/png	etag:%221163aae-1c51-5e207ab62a9a4%22	https://www.hotelans.co.in/wp-content/uploads/2022/06/Ans-Intl.-logo-02-150x150.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/06/Ans-Intl.-logo-02-150x150.png	(from https://www.hotelans.co.in/)
17:24:23	9055/9055	---M-Z	200	added ('OK')	application/javascript	etag:%221780f63-235f-60174b75ab5e4-gzip%22	https://www.hotelans.co.in/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min.js?ver=5.8.4	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/js/view/general.min69c8.js	(from https://www.hotelans.co.in/)
17:24:24	25202/25202	---M-Z	200	added ('OK')	application/javascript	etag:%221161459-6272-5f286b7c798ce-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.0.1	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.minf269.js	(from https://www.hotelans.co.in/)
17:24:24	15347/15347	---M-Z	200	added ('OK')	application/javascript	etag:%221180f32-3bf3-5ff1938e03b40-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js?ver=1.2.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min7359.js	(from https://www.hotelans.co.in/)
17:24:24	1346983/1346983	---M--	200	added ('OK')	image/png	etag:%221160188-148da7-5e321d9dc33cd%22	https://www.hotelans.co.in/wp-content/uploads/2022/07/Image-not-provided.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/uploads/2022/07/Image-not-provided.png	(from https://www.hotelans.co.in/)
17:24:25	5629/5629	---M-Z	200	added ('OK')	application/javascript	etag:%221441821-15fd-5a7fbb57c37c0-gzip%22	https://www.hotelans.co.in/wp-includes/js/imagesloaded.min.js?ver=4.1.4	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/imagesloaded.mineda1.js	(from https://www.hotelans.co.in/)
17:24:26	5359/5359	---M-Z	200	added ('OK')	application/javascript	etag:%221162084-14ef-5f286b7ce0946-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.10.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min007f.js	(from https://www.hotelans.co.in/)
17:24:27	4958/4958	---M-Z	200	added ('OK')	application/javascript	etag:%22118069a-135e-5ff1938e03370-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.14.1	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/js/webpack.runtime.mina1c3.js	(from https://www.hotelans.co.in/)
17:24:28	52861/52861	---M-Z	200	added ('OK')	application/javascript	etag:%2211805af-ce7d-5ff1938da20b5-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.14.1	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/js/frontend-modules.mina1c3.js	(from https://www.hotelans.co.in/)
17:24:29	8171/8171	---M-Z	200	added ('OK')	application/javascript	etag:%22144103b-1feb-5f287f2e2a640-gzip%22	https://www.hotelans.co.in/wp-includes/js/dist/vendor/wp-polyfill-inert.min.js?ver=3.1.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/dist/vendor/wp-polyfill-inert.min0226.js	(from https://www.hotelans.co.in/)
17:24:29	6607/6607	---M-Z	200	added ('OK')	application/javascript	etag:%221441026-19cf-5f41e314ed740-gzip%22	https://www.hotelans.co.in/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.11	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/dist/vendor/regenerator-runtime.min8fa4.js	(from https://www.hotelans.co.in/)
17:24:30	17823/17823	---M-Z	200	added ('OK')	application/javascript	etag:%221441030-459f-5e91db08e6a40-gzip%22	https://www.hotelans.co.in/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://www.hotelans.co.in/)
17:24:31	4910/4910	---M-Z	200	added ('OK')	application/javascript	etag:%22144106d-132e-5dc5fbf1e6f80-gzip%22	https://www.hotelans.co.in/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/dist/hooks.min6c65.js	(from https://www.hotelans.co.in/)
17:24:31	10230/10230	---M-Z	200	added ('OK')	application/javascript	etag:%221441075-27f6-5e95d8f5cb080-gzip%22	https://www.hotelans.co.in/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	D:/Hotelans/hotelans/www.hotelans.co.in/wp-includes/js/dist/i18n.mine57b.js	(from https://www.hotelans.co.in/)
17:24:32	21564/21564	---M-Z	200	added ('OK')	application/javascript	etag:%2211620a0-543c-5f286b7ce1cce-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.10.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/frontend.min007f.js	(from https://www.hotelans.co.in/)
17:24:33	12198/12198	---M-Z	200	added ('OK')	application/javascript	etag:%2211c0a17-2fa6-5ff1938ec9766-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://www.hotelans.co.in/)
17:24:34	40814/40814	---M-Z	200	added ('OK')	application/javascript	etag:%2211805ad-9f6e-5ff1938d411e2-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.14.1	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/js/frontend.mina1c3.js	(from https://www.hotelans.co.in/)
17:24:35	27461/27461	---M-Z	200	added ('OK')	application/javascript	etag:%221162098-6b45-5f286b7ce14fe-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.10.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min007f.js	(from https://www.hotelans.co.in/)
17:24:35	3721/3721	---M-Z	200	added ('OK')	application/javascript	etag:%221161450-e89-5f286b7c790fe-gzip%22	https://www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.10.2	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min007f.js	(from https://www.hotelans.co.in/)
17:24:37	105898/105898	---M--	200	added ('OK')	image/png	etag:%221180a85-19daa-5feb4a2a7eca5%22	https://www.hotelans.co.in/wp-content/plugins/chaty/images/whatsapp.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/chaty/images/whatsapp.png	(from https://www.hotelans.co.in/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.1.21657522267)
17:24:42	931/931	---M--	200	added ('OK')	image/png	etag:%221180a83-3a3-5feb4a2a7eca5%22	https://www.hotelans.co.in/wp-content/plugins/chaty/images/header-top.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/chaty/images/header-top.png	(from https://www.hotelans.co.in/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.1.21657522267)
17:24:43	627/627	---M--	200	added ('OK')	image/png	etag:%221180a82-273-5feb4a2a7eca5%22	https://www.hotelans.co.in/wp-content/plugins/chaty/images/header-bottom.png	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/chaty/images/header-bottom.png	(from https://www.hotelans.co.in/wp-content/plugins/chaty/css/chaty-front.min.css?ver=3.1.21657522267)
17:24:46	213952/213952	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221180f36-343c0-5ff1938e03f28%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.20.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb732.eot	(from https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0)
17:24:47	94248/94248	---M--	200	added ('OK')	font/woff2	etag:%221180f3a-17028-5ff1938e6368b%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.20.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb732.woff2	(from https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0)
17:24:48	115572/115572	---M--	200	added ('OK')	font/woff	etag:%221180f39-1c374-5ff1938e6368b%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.20.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb732.woff	(from https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0)
17:24:51	213792/213792	---MCZ	200	added ('OK')	font/ttf	etag:W/%221180f38-34320-5ff1938e03f28%22	https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.20.0	D:/Hotelans/hotelans/www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb732.ttf	(from https://www.hotelans.co.in/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0)
